key_resp.corr,key_resp.rt,,seq rt,ran rt
1,0.9425642,,0.9425642,0.5247521
1,0.5982246,,0.5982246,0.456757
1,0.3602342,,0.3602342,0.437704
1,0.6248455,,0.6248455,0.3208208
1,0.486227,,0.486227,0.3364254
1,0.5405518,,0.5405518,0.3844395
1,0.5541692,,0.5541692,0.6097737
1,0.5340559,,0.5340559,0.4698389
1,0.6072911,,0.6072911,0.5147919
1,0.9365866,,0.9365866,0.4194885
1,0.5343889,,0.5343889,0.4799737
1,0.3642636,,0.3642636,0.6795263
1,0.5308995,,0.5308995,0.6141638
1,0.5055848,,0.5055848,0.4854573
1,0.4266527,,0.4266527,0.6006061
1,0.6476271,,0.6476271,0.6063657
1,0.6688952,,0.6688952,0.4625058
1,0.3762361,,0.3762361,0.5194582
1,0.3090256,,0.3090256,0.8088282
1,0.3803217,,0.3803217,0.4862528
1,0.3956688,,0.3956688,0.4277604
1,0.3357365,,0.3357365,0.6379155
1,0.3884192,,0.3884192,1.4265487
1,0.3102162,,0.3102162,0.7963827
1,0.2398813,,0.2398813,1.1681238
1,0.4009559,,0.4009559,0.4840596
1,0.3258123,,0.3258123,0.5923087
1,0.297004,,0.297004,0.9266424
1,0.4837474,,0.4837474,0.4462463
1,0.2572371,,0.2572371,0.3669773
1,0.2577774,,0.2577774,0.4536694
1,0.3785777,,0.3785777,0.3856567
1,0.2313474,,0.2313474,1.746207
1,0.346123,,0.346123,0.5293682
1,0.3388633,,0.3388633,0.3664903
1,0.223079,,0.223079,0.5863821
1,0.4154939,,0.4154939,0.4178387
1,0.3845811,,0.3845811,0.6974533
1,0.3712616,,0.3712616,0.4982885
1,0.3861128,,0.3861128,0.5140418
1,0.3229113,,0.3229113,0.548037
1,0.260013,,0.260013,0.4903037
1,0.2773773,,0.2773773,0.4807839
1,0.3212927,,0.3212927,1.0412243
1,0.2537603,,0.2537603,0.5095366
1,0.3935074,,0.3935074,0.4530764
1,0.303471,,0.303471,0.4467812
1,0.4875359,,0.4875359,1.4717046
1,0.3916263,,0.3916263,0.5067352
1,1.6192387,,1.6192387,0.3599704
1,0.3321146,,0.3321146,0.6141862
1,0.367828,,0.367828,0.464359
1,0.643878,,0.643878,0.3501441
1,0.2831909,,0.2831909,0.5774977
1,0.3122635,,0.3122635,0.4513681
1,0.2022139,,0.2022139,0.4498099
1,0.3443082,,0.3443082,0.461792
1,0.2972471,,0.2972471,0.4628149
1,0.4519321,,0.4519321,0.5679646
1,0.3327627,,0.3327627,0.5550944
1,0.2591766,,0.2591766,0.4780835
1,0.5550478,,0.5550478,0.5860499
1,0.6453528,,0.6453528,0.4177795
1,1.0644147,,1.0644147,0.4037814
1,0.6205987,,0.6205987,1.3035214
1,0.4031922,,0.4031922,0.6214899
1,0.6626173,,0.6626173,0.5195485
1,0.611308,,0.611308,0.511249
1,0.3661914,,0.3661914,0.3647275
1,0.2660711,,0.2660711,0.3227691
1,0.2980981,,0.2980981,0.4300452
1,0.3306771,,0.3306771,0.4216722
1,0.3040438,,0.3040438,0.5845233
1,0.3242526,,0.3242526,0.4699856
1,0.4283425,,0.4283425,0.4755772
1,0.3702578,,0.3702578,0.3356351
1,0.3096217,,0.3096217,0.3517434
1,0.3694124,,0.3694124,0.521494
1,2.05588,,2.05588,0.3471887
1,0.3652232,,0.3652232,0.4836207
1,0.5025384,,0.5025384,0.4400979
1,0.3255026,,0.3255026,0.6002368
1,0.3847992,,0.3847992,0.6415973
1,0.7578665,,0.7578665,0.531068
1,0.8554986,,0.8554986,0.3968577
1,0.4707802,,0.4707802,0.4016878
1,0.3796903,,0.3796903,0.4225266
1,0.2763492,,0.2763492,0.4377559
1,0.3442977,,0.3442977,0.6513463
1,0.9255979,,0.9255979,0.462288
1,0.2775624,,0.2775624,0.4155941
1,0.36591,,0.36591,0.469764
1,0.6878782,,0.6878782,0.4185859
1,0.326399,,0.326399,0.4845889
1,0.4227649,,0.4227649,0.4251781
1,0.357284,,0.357284,0.4304914
1,1.2498143,,1.2498143,0.363568
1,0.3396669,,0.3396669,0.328166
1,0.0741447,,0.0741447,0.3166598
1,0.280767,,0.280767,0.3528636
1,0.4032915,,0.4032915,0.2849478
1,1.0248359,,1.0248359,0.3281609
1,0.4101724,,0.4101724,0.3968856
1,0.3637137,,0.3637137,0.3041075
1,0.5283843,,0.5283843,0.3801863
1,0.2008649,,0.2008649,0.417076
1,0.7249504,,0.7249504,0.439739
1,0.4103076,,0.4103076,0.415782
1,0.2961009,,0.2961009,0.4164853
1,0.3636202,,0.3636202,0.5802254
1,0.667267,,0.667267,0.4797637
1,0.9842815,,0.9842815,0.3977487
1,0.3898467,,0.3898467,0.631279
1,0.3496115,,0.3496115,0.4499356
1,0.2378837,,0.2378837,0.3773181
1,0.416276,,0.416276,0.3880892
1,2.3360461,,2.3360461,0.4147123
1,1.0954582,,1.0954582,0.3857386
1,0.4660903,,0.4660903,0.3620258
1,0.6262285,,0.6262285,0.757773
1,0.5585323,,0.5585323,0.5766579
1,1.2500716,,1.2500716,0.5393188
1,0.9731143,,0.9731143,0.4875178
1,1.777233,,1.777233,0.3827668
1,0.3468594,,0.3468594,0.4205842
1,0.6959169,,0.6959169,0.40734
1,0.3004788,,0.3004788,0.4254162
1,0.4563835,,0.4563835,0.3498279
1,0.8309466,,0.8309466,0.6164768
1,0.4923179,,0.4923179,0.3772859
1,0.5818693,,0.5818693,0.5455611
1,0.3860004,,0.3860004,0.389894
1,0.3467408,,0.3467408,0.5444113
1,0.3785919,,0.3785919,0.4540672
1,0.3702856,,0.3702856,0.6771025
1,0.3045209,,0.3045209,0.4119971
1,0.4367485,,0.4367485,0.3518085
1,0.4069129,,0.4069129,0.450441
1,0.3732449,,0.3732449,0.3679238
1,0.3925067,,0.3925067,0.4428994
1,0.3069522,,0.3069522,0.3288137
1,0.48361,,0.48361,0.5127129
1,0.5247521,,,
1,0.456757,,,
1,0.437704,,,
1,0.3208208,,,
1,0.3364254,,,
1,0.3844395,,,
1,0.6097737,,,
1,0.4698389,,,
1,0.5147919,,,
1,0.4194885,,,
1,0.4799737,,,
1,0.6795263,,,
1,0.6141638,,,
1,0.4854573,,,
1,0.6006061,,,
1,0.6063657,,,
1,0.4625058,,,
1,0.5194582,,,
1,0.8088282,,,
1,0.4862528,,,
1,0.4277604,,,
1,0.6379155,,,
1,1.4265487,,,
1,0.7963827,,,
1,1.1681238,,,
1,0.4840596,,,
1,0.5923087,,,
1,0.9266424,,,
1,0.4462463,,,
1,0.3669773,,,
1,0.4536694,,,
1,0.3856567,,,
1,1.746207,,,
1,0.5293682,,,
1,0.3664903,,,
1,0.5863821,,,
1,0.4178387,,,
1,0.6974533,,,
1,0.4982885,,,
1,0.5140418,,,
1,0.548037,,,
1,0.4903037,,,
1,0.4807839,,,
1,1.0412243,,,
1,0.5095366,,,
1,0.4530764,,,
1,0.4467812,,,
1,1.4717046,,,
1,0.5067352,,,
1,0.3599704,,,
1,0.6141862,,,
1,0.464359,,,
1,0.3501441,,,
1,0.5774977,,,
1,0.4513681,,,
1,0.4498099,,,
1,0.461792,,,
1,0.4628149,,,
1,0.5679646,,,
1,0.5550944,,,
1,0.4780835,,,
1,0.5860499,,,
1,0.4177795,,,
1,0.4037814,,,
1,1.3035214,,,
1,0.6214899,,,
1,0.5195485,,,
1,0.511249,,,
1,0.3647275,,,
1,0.3227691,,,
1,0.4300452,,,
1,0.4216722,,,
1,0.5845233,,,
1,0.4699856,,,
1,0.4755772,,,
1,0.3356351,,,
1,0.3517434,,,
1,0.521494,,,
1,0.3471887,,,
1,0.4836207,,,
1,0.4400979,,,
1,0.6002368,,,
1,0.6415973,,,
1,0.531068,,,
1,0.3968577,,,
1,0.4016878,,,
1,0.4225266,,,
1,0.4377559,,,
1,0.6513463,,,
1,0.462288,,,
1,0.4155941,,,
1,0.469764,,,
1,0.4185859,,,
1,0.4845889,,,
1,0.4251781,,,
1,0.4304914,,,
1,0.363568,,,
1,0.328166,,,
1,0.3166598,,,
1,0.3528636,,,
1,0.2849478,,,
1,0.3281609,,,
1,0.3968856,,,
1,0.3041075,,,
1,0.3801863,,,
1,0.417076,,,
1,0.439739,,,
1,0.415782,,,
1,0.4164853,,,
1,0.5802254,,,
1,0.4797637,,,
1,0.3977487,,,
1,0.631279,,,
1,0.4499356,,,
1,0.3773181,,,
1,0.3880892,,,
1,0.4147123,,,
1,0.3857386,,,
1,0.3620258,,,
1,0.757773,,,
1,0.5766579,,,
1,0.5393188,,,
1,0.4875178,,,
1,0.3827668,,,
1,0.4205842,,,
1,0.40734,,,
1,0.4254162,,,
1,0.3498279,,,
1,0.6164768,,,
1,0.3772859,,,
1,0.5455611,,,
1,0.389894,,,
1,0.5444113,,,
1,0.4540672,,,
1,0.6771025,,,
1,0.4119971,,,
1,0.3518085,,,
1,0.450441,,,
1,0.3679238,,,
1,0.4428994,,,
1,0.3288137,,,
1,0.5127129,,,
1,0.4207048,,,
